UID         PID   PPID  C STIME TTY          TIME CMD
root        536      2  0 16:15 ?        00:00:00 [krfcommd]
avahi       546      1  0 16:15 ?        00:00:00 avahi-daemon: running [ubuntu.local]
avahi       547    546  0 16:15 ?        00:00:00 avahi-daemon: chroot helper
root        575      1  0 16:15 ?        00:00:00 upstart-file-bridge --daemon
root        581      2  0 16:15 ?        00:00:00 [ttm_swap]
root        713      1  0 16:15 ?        00:00:00 /usr/sbin/ModemManager
root        812      1  0 16:15 ?        00:00:00 NetworkManager
root        817      1  0 16:15 ?        00:00:00 upstart-socket-bridge --daemon
root        828      1  0 16:15 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root        878      1  0 16:15 tty4     00:00:00 /sbin/getty -8 38400 tty4
root        882      1  0 16:15 tty5     00:00:00 /sbin/getty -8 38400 tty5
root        883      1  0 16:15 ?        00:00:01 thermald --no-daemon --dbus-enable
root        886    812  0 16:15 ?        00:00:00 /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-3c854623-e1cc-45af-bbe4-e9ec7b13f2e5-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
root        891      1  0 16:15 tty2     00:00:00 /sbin/getty -8 38400 tty2
root        892      1  0 16:15 tty3     00:00:00 /sbin/getty -8 38400 tty3
root        895      1  0 16:15 tty6     00:00:00 /sbin/getty -8 38400 tty6
kernoops    941      1  0 16:15 ?        00:00:00 /usr/sbin/kerneloops
root        954      1  0 16:15 ?        00:00:00 /usr/sbin/sshd -D
root        964      1  0 16:15 ?        00:00:00 acpid -c /etc/acpi/events -s /var/run/acpid.socket
root       1014      1  0 16:15 ?        00:00:00 cron
root       1041      1  0 16:15 ?        00:00:00 /usr/sbin/cups-browsed
root       1067      1  0 16:15 ?        00:00:14 /usr/bin/vmtoolsd
whoopsie   1112      1  0 16:15 ?        00:00:00 whoopsie
root       1130      1  0 16:15 tty1     00:00:00 /sbin/getty -8 38400 tty1
nobody     1137    812  0 16:15 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.1.1 --conf-file=/var/run/NetworkManager/dnsmasq.conf --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root       1287      1  0 16:15 ?        00:00:00 lightdm
root       1302      1  0 16:15 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       1323      2  0 16:15 ?        00:00:00 [kauditd]
lightdm    1378      1  0 16:15 ?        00:00:00 init --user --startup-event indicator-services-start
root       1422      1  0 16:15 ?        00:00:00 /usr/lib/upower/upowerd
lightdm    1440   1378  0 16:15 ?        00:01:42 /usr/bin/pulseaudio --start --log-target=syslog
rtkit      1442      1  0 16:15 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
lightdm    1688   1378  0 16:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
lightdm    1694   1378  0 16:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
root       1805   1287  0 16:17 tty7     00:00:48 /usr/bin/X -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root       1859   1287  0 16:17 ?        00:00:00 lightdm --session-child 12 19
colord     1940      1  0 16:17 ?        00:00:00 /usr/lib/colord/colord
neozeus    2000      1  0 16:17 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
neozeus    2002   1859  0 16:17 ?        00:00:00 init --user
neozeus    2089   2002  0 16:17 ?        00:00:00 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-oVRslRdKFx
neozeus    2100   2002  0 16:17 ?        00:00:00 upstart-event-bridge
neozeus    2113   2002  0 16:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
neozeus    2125   2002  0 16:17 ?        00:00:01 /usr/bin/ibus-daemon --daemonize --xim
neozeus    2156   2002  0 16:17 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
neozeus    2161   2002  0 16:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
neozeus    2162   2002  0 16:17 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
neozeus    2163   2002  0 16:17 ?        00:00:00 gnome-session --session=ubuntu
